data_id,data_name,model,Accuracy,Precision,Recall,F1-score,ROC-AUC score
10,data10_IC1_FM_label_wl_20_pw_0_unwo_dropped_1_1_ratio_full_data,Support Vector Machine,0.7167002012072434,0.739559946115851,0.6654545454545454,0.7005529561888558,0.7706365458189106
11,data11_IC1_FM_label_wl_20_pw_0_unwo_dropped_1_4_ratio_full_data,Support Vector Machine,0.8082897384305835,0.7023809523809523,0.0937251787132645,0.16538192011212333,0.7780498629309769
12,data12_IC1_FM_label_wl_20_pw_0_unwo_dropped_1_1_ratio_max_5000,Support Vector Machine,0.6666666666666666,0.746268656716418,0.5882352941176471,0.6578947368421053,0.7206296603148301
13,data13_IC1_FM_label_wl_20_pw_0_unwo_dropped_1_1_ratio_max_2500,Support Vector Machine,0.575,0.6176470588235294,0.5,0.5526315789473685,0.6942355889724311
