data_id,data_name,model,Accuracy,Precision,Recall,F1-score,ROC-AUC score
10,data10_IC1_FM_label_wl_20_pw_0_unwo_dropped_1_1_ratio_full_data,UniTS,0.7249496981891348,0.7187993680884676,0.7353535353535353,0.7269822248851608,0.8042787797817859
11,data11_IC1_FM_label_wl_20_pw_0_unwo_dropped_1_4_ratio_full_data,UniTS,0.8367806841046278,0.693217665615142,0.3490865766481334,0.4643423137876387,0.8074404712034792
12,data12_IC1_FM_label_wl_20_pw_0_unwo_dropped_1_1_ratio_max_5000,UniTS,0.48717948717948717,0.5229357798165137,0.6705882352941176,0.5876288659793814,0.47307373653686824
13,data13_IC1_FM_label_wl_20_pw_0_unwo_dropped_1_1_ratio_max_2500,UniTS,0.4875,0.5081967213114754,0.7380952380952381,0.6019417475728156,0.5031328320802005
